timestep,time,golf_0,golf_1,golf_2,sprinter_0,sprinter_1,sprinter_2
55,2024-05-13 13:45:00,0.7281530563468599,0.6744771884097137,0.6495783360151012,0.7111149888141525,0.7044561403508772,0.5883578947368421
56,2024-05-13 14:00:00,0.7243716382598524,0.66901967486231,0.6430382636679317,0.706882369233874,0.7001132376395534,0.5782796992481203
57,2024-05-13 14:15:00,0.7205902201728451,0.6635621613149062,0.6364981913207621,0.7026497496535956,0.6957703349282296,0.5682015037593985
58,2024-05-13 14:30:00,0.7168088020858376,0.6581046477675024,0.7409981664060206,0.6984171300733172,0.6914274322169058,0.5581233082706767
59,2024-05-13 14:45:00,0.7130273839988304,0.6526471342200987,0.845498141491279,0.6941845104930386,0.6870845295055821,0.5480451127819549
60,2024-05-13 15:00:00,0.7092459659118229,0.6471896206726949,0.845498141491279,0.6899518909127602,0.6827416267942583,0.5379669172932331
61,2024-05-13 15:15:00,0.7054645478248156,0.7516895957579535,0.845498141491279,0.6857192713324818,0.6783987240829346,0.5278887218045113
62,2024-05-13 15:30:00,0.7016831297378082,0.856189570843212,0.845498141491279,0.6814866517522034,0.6740558213716108,0.5178105263157895
63,2024-05-13 15:45:00,0.6979017116508008,0.856189570843212,0.845498141491279,0.6772540321719249,0.669712918660287,0.5077323308270676
64,2024-05-13 16:00:00,0.6941202935637935,0.856189570843212,0.845498141491279,0.6730214125916465,0.6653700159489633,0.49765413533834585
65,2024-05-13 16:15:00,0.6903388754767861,0.856189570843212,0.845498141491279,0.668788793011368,0.6610271132376395,0.48757593984962405
66,2024-05-13 16:30:00,0.6865574573897787,0.856189570843212,0.845498141491279,0.6645561734310895,0.6566842105263158,0.47749774436090225
67,2024-05-13 16:45:00,0.6827760393027713,0.856189570843212,0.845498141491279,0.6603235538508111,0.6910591941350385,0.46741954887218046
68,2024-05-13 17:00:00,0.6789946212157639,0.856189570843212,0.845498141491279,0.6560909342705326,0.7254341777437612,0.45734135338345866
69,2024-05-13 17:15:00,0.6752132031287565,0.856189570843212,0.845498141491279,0.6518583146902541,0.7598091613524839,0.44726315789473686
70,2024-05-13 17:30:00,0.6714317850417492,0.856189570843212,0.845498141491279,0.6476256951099757,0.7941841449612066,0.48163814150345957
71,2024-05-13 17:45:00,0.6676503669547418,0.856189570843212,0.845498141491279,0.6820006787186984,0.8285591285699293,0.5160131251121822
72,2024-05-13 18:00:00,0.6638689488677344,0.856189570843212,0.845498141491279,0.7163756623274211,0.8285591285699293,0.5503881087209049
73,2024-05-13 18:15:00,0.660087530780727,0.856189570843212,0.845498141491279,0.7507506459361438,0.8285591285699293,0.5847630923296276
74,2024-05-13 18:30:00,0.6563061126937196,0.856189570843212,0.845498141491279,0.7851256295448665,0.8285591285699293,0.6191380759383504
75,2024-05-13 18:45:00,0.6525246946067123,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.6535130595470731
76,2024-05-13 19:00:00,0.6487432765197049,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.6878880431557958
77,2024-05-13 19:15:00,0.6449618584326975,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.7222630267645185
78,2024-05-13 19:30:00,0.7494618335179559,0.856189570843212,0.845498141491279,0.8195006131535892,0.8285591285699293,0.7566380103732412
