timestep,time,golf_0,sprinter_0
95,2024-05-13 23:45:00,0.6996812025152748,0.6893333898302135
96,2024-05-14 00:00:00,0.702721166075418,0.6923810086335553
97,2024-05-14 00:15:00,0.7057611296355613,0.6954286274368972
98,2024-05-14 00:30:00,0.7088010931957044,0.6984762462402387
99,2024-05-14 00:45:00,0.7118410567558475,0.7015238650435798
100,2024-05-14 01:00:00,0.7148810203159908,0.7045714838469217
101,2024-05-14 01:15:00,0.7179209838761339,0.7076191026502634
102,2024-05-14 01:30:00,0.7209609474362771,0.7106667214536053
103,2024-05-14 01:45:00,0.7240009109964203,0.7137143402569466
104,2024-05-14 02:00:00,0.7270408745565635,0.7167619590602885
105,2024-05-14 02:15:00,0.7300808381167068,0.7198095778636304
106,2024-05-14 02:30:00,0.7331208016768499,0.7228571966669722
107,2024-05-14 02:45:00,0.736160765236993,0.7259048154703136
108,2024-05-14 03:00:00,0.7392007287971363,0.7289524342736555
109,2024-05-14 03:15:00,0.7422406923572795,0.7320000530769974
110,2024-05-14 03:30:00,0.7452806559174227,0.7350476718803393
111,2024-05-14 03:45:00,0.7483206194775658,0.7380952906836808
112,2024-05-14 04:00:00,0.751360583037709,0.7411429094870229
113,2024-05-14 04:15:00,0.7544005465978523,0.7441905282903649
114,2024-05-14 04:30:00,0.7574405101579954,0.7472381470937068
115,2024-05-14 04:45:00,0.7604804737181385,0.7502857658970489
116,2024-05-14 05:00:00,0.7635204372782818,0.7533333847003909
117,2024-05-14 05:15:00,0.766560400838425,0.7563810035037329
118,2024-05-14 05:30:00,0.7696003643985682,0.7594286223070751
119,2024-05-14 05:45:00,0.7726403279587113,0.762476241110417
120,2024-05-14 06:00:00,0.7756802915188545,0.765523859913759
121,2024-05-14 06:15:00,0.7787202550789978,0.7685714787171011
122,2024-05-14 06:30:00,0.7817602186391409,0.7716190975204431
123,2024-05-14 06:45:00,0.784800182199284,0.7746667163237851
124,2024-05-14 07:00:00,0.7878401457594273,0.7777143351271272
125,2024-05-14 07:15:00,0.7908801093195705,0.7807619539304692
126,2024-05-14 07:30:00,0.7939200728797137,0.7838095727338114
