time,price,"Price (EUR/MWh, EUR/tCO2)"
2024-05-14T15:15+02:00,-30.02,
2024-05-14T15:30+02:00,-18.1,
2024-05-14T15:45+02:00,13.18,
2024-05-14T16:00+02:00,-62.01,
2024-05-14T16:15+02:00,-19.46,
2024-05-14T16:30+02:00,1.94,
2024-05-14T16:45+02:00,44.91,
2024-05-14T17:00+02:00,-70.08,
2024-05-14T17:15+02:00,-10.02,
2024-05-14T17:30+02:00,33.91,
2024-05-14T17:45+02:00,77.59,
2024-05-14T18:00+02:00,-42.05,
2024-05-14T18:15+02:00,34.93,
2024-05-14T18:30+02:00,77.05,
2024-05-14T18:45+02:00,149.98,
2024-05-14T19:00+02:00,54.0,
2024-05-14T19:15+02:00,80.21,
2024-05-14T19:30+02:00,104.92,
2024-05-14T19:45+02:00,104.97,
2024-05-14T20:00+02:00,129.9,
2024-05-14T20:15+02:00,97.95,
2024-05-14T20:30+02:00,76.34,
2024-05-14T20:45+02:00,61.91,
2024-05-14T21:00+02:00,104.99,
2024-05-14T21:15+02:00,93.94,
2024-05-14T21:30+02:00,69.99,
2024-05-14T21:45+02:00,55.14,
2024-05-14T22:00+02:00,101.93,
2024-05-14T22:15+02:00,73.91,
2024-05-14T22:30+02:00,57.46,
2024-05-14T22:45+02:00,41.9,
2024-05-14T23:00+02:00,69.97,
2024-05-14T23:15+02:00,56.4,
2024-05-14T23:30+02:00,45.9,
2024-05-14T23:45+02:00,37.91,
2024-05-15T00:00+02:00,54.93,
2024-05-15T00:15+02:00,41.5,
2024-05-15T00:30+02:00,28.1,
2024-05-15T00:45+02:00,20.12,
2024-05-15T01:00+02:00,37.2,
2024-05-15T01:15+02:00,37.9,
2024-05-15T01:30+02:00,30.5,
2024-05-15T01:45+02:00,19.17,
2024-05-15T02:00+02:00,27.5,
2024-05-15T02:15+02:00,32.2,
2024-05-15T02:30+02:00,22.6,
2024-05-15T02:45+02:00,33.3,
2024-05-15T03:00+02:00,21.2,
2024-05-15T03:15+02:00,25.07,
2024-05-15T03:30+02:00,32.2,
2024-05-15T03:45+02:00,34.4,
2024-05-15T04:00+02:00,11.9,
2024-05-15T04:15+02:00,28.55,
2024-05-15T04:30+02:00,26.6,
2024-05-15T04:45+02:00,43.57,
2024-05-15T05:00+02:00,5.08,
2024-05-15T05:15+02:00,22.27,
2024-05-15T05:30+02:00,64.9,
