timestep,time,golf_0,sprinter_0
98,2024-05-14 00:30:00,0.8,0.8687500000000001
99,2024-05-14 00:45:00,0.8,0.8687500000000001
100,2024-05-14 01:00:00,0.8,0.8687500000000001
101,2024-05-14 01:15:00,0.8,0.8687500000000001
102,2024-05-14 01:30:00,0.8,0.8687500000000001
103,2024-05-14 01:45:00,0.8,0.8687500000000001
104,2024-05-14 02:00:00,0.8,0.8687500000000001
105,2024-05-14 02:15:00,0.8,0.8687500000000001
106,2024-05-14 02:30:00,0.8,0.8687500000000001
107,2024-05-14 02:45:00,0.8,0.8687500000000001
108,2024-05-14 03:00:00,0.8,0.8687500000000001
109,2024-05-14 03:15:00,0.8,0.8687500000000001
110,2024-05-14 03:30:00,0.8,0.8687500000000001
111,2024-05-14 03:45:00,0.8,0.8687500000000001
112,2024-05-14 04:00:00,0.8,0.8687500000000001
113,2024-05-14 04:15:00,0.8,0.8687500000000001
114,2024-05-14 04:30:00,0.8,0.8687500000000001
115,2024-05-14 04:45:00,0.8,0.8687500000000001
116,2024-05-14 05:00:00,0.8,0.8687500000000001
117,2024-05-14 05:15:00,0.8,0.8687500000000001
118,2024-05-14 05:30:00,0.8,0.8687500000000001
119,2024-05-14 05:45:00,0.8,0.8687500000000001
120,2024-05-14 06:00:00,0.8,0.8687500000000001
121,2024-05-14 06:15:00,0.8,0.8687500000000001
122,2024-05-14 06:30:00,0.8,0.8687500000000001
123,2024-05-14 06:45:00,0.8,0.8687500000000001
124,2024-05-14 07:00:00,0.8,0.8687500000000001
125,2024-05-14 07:15:00,0.8,0.8687500000000001
126,2024-05-14 07:30:00,0.8,0.8687500000000001
127,2024-05-14 07:45:00,0.8,0.8687500000000001
128,2024-05-14 08:00:00,0.8,0.8687500000000001
129,2024-05-14 08:15:00,0.7934599276528306,0.8687500000000001
130,2024-05-14 08:30:00,0.786919855305661,0.8687500000000001
131,2024-05-14 08:45:00,0.7803797829584915,0.8645173804197217
132,2024-05-14 09:00:00,0.773839710611322,0.8602847608394433
133,2024-05-14 09:15:00,0.7672996382641525,0.8560521412591647
134,2024-05-14 09:30:00,0.7607595659169829,0.8518195216788863
135,2024-05-14 09:45:00,0.7542194935698134,0.8475869020986079
136,2024-05-14 10:00:00,0.7476794212226439,0.8433542825183294
137,2024-05-14 10:15:00,0.7411393488754744,0.8391216629380509
138,2024-05-14 10:30:00,0.7345992765283049,0.8348890433577725
139,2024-05-14 10:45:00,0.7280592041811353,0.830656423777494
140,2024-05-14 11:00:00,0.7215191318339659,0.8264238041972156
141,2024-05-14 11:15:00,0.7149790594867963,0.8221911846169372
142,2024-05-14 11:30:00,0.7084389871396268,0.8179585650366586
143,2024-05-14 11:45:00,0.7018989147924573,0.8137259454563802
144,2024-05-14 12:00:00,0.6953588424452878,0.8094933258761018
145,2024-05-14 12:15:00,0.6888187700981183,0.8052607062958234
146,2024-05-14 12:30:00,0.6822786977509487,0.8010280867155448
147,2024-05-14 12:45:00,0.6757386254037793,0.7967954671352664
148,2024-05-14 13:00:00,0.6691985530566097,0.792562847554988
149,2024-05-14 13:15:00,0.6626584807094402,0.7883302279747095
150,2024-05-14 13:30:00,0.6561184083622706,0.7840976083944311
151,2024-05-14 13:45:00,0.6495783360151012,0.7798649888141526
152,2024-05-14 14:00:00,0.6430382636679317,0.7756323692338741
153,2024-05-14 14:15:00,0.6364981913207621,0.7713997496535957
154,2024-05-14 14:30:00,0.7409981913207622,0.7671671300733173
155,2024-05-14 14:45:00,0.8454981913207622,0.7629345104930387
156,2024-05-14 15:00:00,0.9499981913207622,0.7587018909127603
157,2024-05-14 15:15:00,1.0,0.7544692713324819
158,2024-05-14 15:30:00,1.0,0.7502366517522034
159,2024-05-14 15:45:00,1.0,0.746004032171925
160,2024-05-14 16:00:00,1.0,0.7417714125916466
161,2024-05-14 16:15:00,1.0,0.737538793011368
162,2024-05-14 16:30:00,1.0,0.7333061734310896
163,2024-05-14 16:45:00,1.0,0.7290735538508112
164,2024-05-14 17:00:00,1.0,0.7248409342705326
165,2024-05-14 17:15:00,1.0,0.7206083146902542
166,2024-05-14 17:30:00,1.0,0.7163756951099758
167,2024-05-14 17:45:00,1.0,0.7507506951099758
168,2024-05-14 18:00:00,1.0,0.7851256951099759
169,2024-05-14 18:15:00,1.0,0.8195006951099759
170,2024-05-14 18:30:00,1.0,0.8195006951099759
171,2024-05-14 18:45:00,1.0,0.8195006951099759
172,2024-05-14 19:00:00,1.0,0.8195006951099759
173,2024-05-14 19:15:00,1.0,0.8195006951099759
174,2024-05-14 19:30:00,1.0,0.8195006951099759
175,2024-05-14 19:45:00,1.0,0.8195006951099759
176,2024-05-14 20:00:00,1.0,0.8195006951099759
177,2024-05-14 20:15:00,1.0,0.8195006951099759
178,2024-05-14 20:30:00,1.0,0.8195006951099759
179,2024-05-14 20:45:00,1.0,0.8195006951099759
180,2024-05-14 21:00:00,1.0,0.8195006951099759
181,2024-05-14 21:15:00,1.0,0.8195006951099759
182,2024-05-14 21:30:00,1.0,0.8195006951099759
183,2024-05-14 21:45:00,1.0,0.8195006951099759
184,2024-05-14 22:00:00,1.0,0.8195006951099759
185,2024-05-14 22:15:00,1.0,0.8195006951099759
186,2024-05-14 22:30:00,1.0,0.8195006951099759
187,2024-05-14 22:45:00,1.0,0.8195006951099759
188,2024-05-14 23:00:00,1.0,0.8195006951099759
189,2024-05-14 23:15:00,1.0,0.8195006951099759
190,2024-05-14 23:30:00,1.0,0.8195006951099759
191,2024-05-14 23:45:00,1.0,0.8195006951099759
192,2024-05-15 00:00:00,1.0,0.8195006951099759
193,2024-05-15 00:15:00,1.0,0.8195006951099759
194,2024-05-15 00:30:00,1.0,0.8195006951099759
195,2024-05-15 00:45:00,1.0,0.8195006951099759
196,2024-05-15 01:00:00,1.0,0.8195006951099759
197,2024-05-15 01:15:00,1.0,0.8195006951099759
198,2024-05-15 01:30:00,1.0,0.8195006951099759
199,2024-05-15 01:45:00,1.0,0.8195006951099759
200,2024-05-15 02:00:00,1.0,0.8195006951099759
201,2024-05-15 02:15:00,1.0,0.8195006951099759
202,2024-05-15 02:30:00,1.0,0.8195006951099759
203,2024-05-15 02:45:00,1.0,0.8195006951099759
204,2024-05-15 03:00:00,1.0,0.8195006951099759
205,2024-05-15 03:15:00,1.0,0.8195006951099759
206,2024-05-15 03:30:00,1.0,0.8195006951099759
207,2024-05-15 03:45:00,1.0,0.8195006951099759
208,2024-05-15 04:00:00,1.0,0.8195006951099759
209,2024-05-15 04:15:00,1.0,0.8195006951099759
210,2024-05-15 04:30:00,1.0,0.8195006951099759
211,2024-05-15 04:45:00,1.0,0.8195006951099759
212,2024-05-15 05:00:00,1.0,0.8195006951099759
213,2024-05-15 05:15:00,1.0,0.8195006951099759
214,2024-05-15 05:30:00,1.0,0.8195006951099759
215,2024-05-15 05:45:00,1.0,0.8195006951099759
216,2024-05-15 06:00:00,1.0,0.8195006951099759
217,2024-05-15 06:15:00,1.0,0.8195006951099759
218,2024-05-15 06:30:00,1.0,0.8195006951099759
219,2024-05-15 06:45:00,1.0,0.8195006951099759
220,2024-05-15 07:00:00,1.0,0.8195006951099759
221,2024-05-15 07:15:00,1.0,0.8195006951099759
222,2024-05-15 07:30:00,1.0,0.8195006951099759
223,2024-05-15 07:45:00,1.0,0.8195006951099759
224,2024-05-15 08:00:00,1.0,0.8195006951099759
225,2024-05-15 08:15:00,1.0,0.8195006951099759
226,2024-05-15 08:30:00,1.0,0.8151577923986522
227,2024-05-15 08:45:00,1.0,0.8108148896873284
228,2024-05-15 09:00:00,1.0,0.8064719869760046
229,2024-05-15 09:15:00,1.0,0.8021290842646809
230,2024-05-15 09:30:00,1.0,0.7977861815533571
231,2024-05-15 09:45:00,1.0,0.7934432788420334
232,2024-05-15 10:00:00,1.0,0.7891003761307096
233,2024-05-15 10:15:00,1.0,0.7847574734193858
234,2024-05-15 10:30:00,1.0,0.780414570708062
235,2024-05-15 10:45:00,1.0,0.7760716679967382
236,2024-05-15 11:00:00,1.0,0.7717287652854145
237,2024-05-15 11:15:00,1.0,0.7673858625740907
238,2024-05-15 11:30:00,1.0,0.7630429598627669
239,2024-05-15 11:45:00,1.0,0.7587000571514432
240,2024-05-15 12:00:00,1.0,0.7543571544401194
241,2024-05-15 12:15:00,1.0,0.7500142517287957
242,2024-05-15 12:30:00,1.0,0.7456713490174719
243,2024-05-15 12:45:00,1.0,0.7413284463061481
244,2024-05-15 13:00:00,1.0,0.7369855435948244
245,2024-05-15 13:15:00,1.0,0.7326426408835006
246,2024-05-15 13:30:00,1.0,0.7282997381721769
247,2024-05-15 13:45:00,1.0,0.7239568354608531
248,2024-05-15 14:00:00,1.0,0.7196139327495292
249,2024-05-15 14:15:00,1.0,0.7152710300382055
250,2024-05-15 14:30:00,1.0,0.7109281273268817
251,2024-05-15 14:45:00,1.0,0.706585224615558
252,2024-05-15 15:00:00,1.0,0.7022423219042342
253,2024-05-15 15:15:00,1.0,0.6978994191929104
254,2024-05-15 15:30:00,1.0,0.6935565164815867
255,2024-05-15 15:45:00,1.0,0.6892136137702629
256,2024-05-15 16:00:00,1.0,0.6848707110589392
257,2024-05-15 16:15:00,1.0,0.6805278083476154
258,2024-05-15 16:30:00,1.0,0.6761849056362916
259,2024-05-15 16:45:00,1.0,0.7105599056362917
260,2024-05-15 17:00:00,1.0,0.7449349056362917
261,2024-05-15 17:15:00,1.0,0.7793099056362918
262,2024-05-15 17:30:00,1.0,0.8
263,2024-05-15 17:45:00,1.0,0.8
264,2024-05-15 18:00:00,1.0,0.8
265,2024-05-15 18:15:00,1.0,0.8
266,2024-05-15 18:30:00,1.0,0.8
267,2024-05-15 18:45:00,1.0,0.8
268,2024-05-15 19:00:00,1.0,0.8
269,2024-05-15 19:15:00,1.0,0.8
270,2024-05-15 19:30:00,1.0,0.8
271,2024-05-15 19:45:00,1.0,0.8
272,2024-05-15 20:00:00,1.0,0.8
273,2024-05-15 20:15:00,1.0,0.8
274,2024-05-15 20:30:00,1.0,0.8
275,2024-05-15 20:45:00,1.0,0.8
276,2024-05-15 21:00:00,1.0,0.8
277,2024-05-15 21:15:00,1.0,0.8
278,2024-05-15 21:30:00,1.0,0.8
279,2024-05-15 21:45:00,1.0,0.8
280,2024-05-15 22:00:00,1.0,0.8
281,2024-05-15 22:15:00,1.0,0.8
282,2024-05-15 22:30:00,1.0,0.8
283,2024-05-15 22:45:00,1.0,0.8
284,2024-05-15 23:00:00,1.0,0.8
285,2024-05-15 23:15:00,1.0,0.8
286,2024-05-15 23:30:00,1.0,0.8
287,2024-05-15 23:45:00,1.0,0.8
